sequence_id	specimen_id	library_id	path
50144_3_4	MA01843	MA01843_library01	"/seq/illumina/runs/50/50144/lane3/plex4/50144_3#4.cram"
50144_3_5	MA00746	MA00746_library01	"/seq/illumina/runs/50/50144/lane3/plex5/50144_3#5.cram"
50144_3_6	MA00856	MA00856_library01	"/seq/illumina/runs/50/50144/lane3/plex6/50144_3#6.cram"
50144_3_7	MA02426	MA02426_library01	"/seq/illumina/runs/50/50144/lane3/plex7/50144_3#7.cram"
50144_3_8	MA01290	MA01290_library01	"/seq/illumina/runs/50/50144/lane3/plex8/50144_3#8.cram"
50144_3_9	MA01947	MA01947_library01	"/seq/illumina/runs/50/50144/lane3/plex9/50144_3#9.cram"
50144_3_10	MA02407	MA02407_library01	"/seq/illumina/runs/50/50144/lane3/plex10/50144_3#10.cram"
50144_3_11	MA02364	MA02364_library01	"/seq/illumina/runs/50/50144/lane3/plex11/50144_3#11.cram"
50144_3_12	MA02441	MA02441_library01	"/seq/illumina/runs/50/50144/lane3/plex12/50144_3#12.cram"
50144_3_13	MA01480	MA01480_library01	"/seq/illumina/runs/50/50144/lane3/plex13/50144_3#13.cram"
50144_3_14	MA01610	MA01610_library01	"/seq/illumina/runs/50/50144/lane3/plex14/50144_3#14.cram"
50144_3_15	MA02421	MA02421_library01	"/seq/illumina/runs/50/50144/lane3/plex15/50144_3#15.cram"
50144_3_16	MA02146	MA02146_library01	"/seq/illumina/runs/50/50144/lane3/plex16/50144_3#16.cram"
50144_3_17	MA02347	MA02347_library01	"/seq/illumina/runs/50/50144/lane3/plex17/50144_3#17.cram"
50144_3_18	MA02280	MA02280_library01	"/seq/illumina/runs/50/50144/lane3/plex18/50144_3#18.cram"
50144_3_19	MA02420	MA02420_library01	"/seq/illumina/runs/50/50144/lane3/plex19/50144_3#19.cram"
50144_3_20	MA02237	MA02237_library01	"/seq/illumina/runs/50/50144/lane3/plex20/50144_3#20.cram"
50144_3_21	MA00218	MA00218_library01	"/seq/illumina/runs/50/50144/lane3/plex21/50144_3#21.cram"
50144_3_22	MA00609	MA00609_library01	"/seq/illumina/runs/50/50144/lane3/plex22/50144_3#22.cram"
50149_1_1	MA02427	MA02427_library01	"/seq/illumina/runs/50/50149/lane1/plex1/50149_1#1.cram"
50149_1_2	MA00794	MA00794_library01	"/seq/illumina/runs/50/50149/lane1/plex2/50149_1#2.cram"
50149_1_3	MA00911	MA00911_library01	"/seq/illumina/runs/50/50149/lane1/plex3/50149_1#3.cram"
50149_1_4	MA00916	MA00916_library01	"/seq/illumina/runs/50/50149/lane1/plex4/50149_1#4.cram"
50149_1_5	MA00325	MA00325_library01	"/seq/illumina/runs/50/50149/lane1/plex5/50149_1#5.cram"
50149_1_6	MA00490	MA00490_library01	"/seq/illumina/runs/50/50149/lane1/plex6/50149_1#6.cram"
50149_1_7	MA02406	MA02406_library01	"/seq/illumina/runs/50/50149/lane1/plex7/50149_1#7.cram"
50149_1_8	MA00993	MA00993_library01	"/seq/illumina/runs/50/50149/lane1/plex8/50149_1#8.cram"
50149_1_9	MA01031	MA01031_library01	"/seq/illumina/runs/50/50149/lane1/plex9/50149_1#9.cram"
50149_1_10	MA02282	MA02282_library01	"/seq/illumina/runs/50/50149/lane1/plex10/50149_1#10.cram"
50149_1_11	MA00064	MA00064_library01	"/seq/illumina/runs/50/50149/lane1/plex11/50149_1#11.cram"
50149_1_12	MA00078	MA00078_library01	"/seq/illumina/runs/50/50149/lane1/plex12/50149_1#12.cram"
50149_1_13	MA02442	MA02442_library01	"/seq/illumina/runs/50/50149/lane1/plex13/50149_1#13.cram"
50149_1_14	MA01337	MA01337_library01	"/seq/illumina/runs/50/50149/lane1/plex14/50149_1#14.cram"
50149_1_15	MA01370	MA01370_library01	"/seq/illumina/runs/50/50149/lane1/plex15/50149_1#15.cram"
50149_1_16	MA01301	MA01301_library01	"/seq/illumina/runs/50/50149/lane1/plex16/50149_1#16.cram"
50149_1_17	MA01744	MA01744_library01	"/seq/illumina/runs/50/50149/lane1/plex17/50149_1#17.cram"
50149_1_18	MA01968	MA01968_library01	"/seq/illumina/runs/50/50149/lane1/plex18/50149_1#18.cram"
50149_1_19	MA01624	MA01624_library01	"/seq/illumina/runs/50/50149/lane1/plex19/50149_1#19.cram"
50149_1_20	MA01969	MA01969_library01	"/seq/illumina/runs/50/50149/lane1/plex20/50149_1#20.cram"
